127.0.0.1 - - [01/Aug/2023:07:58:59 -0400] "GET /cisnatural/index.html HTTP/1.1" 200 815
127.0.0.1 - - [01/Aug/2023:08:34:16 -0400] "GET /cisnatural/versionInfo HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:17 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:17 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:17 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:17 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:17 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:18 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:18 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA1_621849131658&subsessionid=16908932573621028028676850247465&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:19 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:25 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:34:28 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 8272
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA2_648414619909&subsessionid=16908933424356222307792787400614&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:42 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:49 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:53 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:54 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:55 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:35:59 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:01 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:02 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:06 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:08 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:09 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 24042
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:28 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:53 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:36:56 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/servlet/StartCISPage?PAGEURL=/cisnatural/NatLogon.html&xciParameters.natserver=10.10.4.234&xciParameters.natport=3500&xciParameters.natsession=Local&xciParameters.natuser=NDV&xciParameters.nattimeout=0 HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/aboutBlank.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/cisnatural/NatLogon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/cisnatural/NatLogon_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/servlet/ HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/cisnatural/natlegacy.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/blankpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/cisnatural/natlegacy_JLIBS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:19 -0400] "GET /cisnatural/HTMLBasedGUI/general/cscform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:20 -0400] "POST /cisnatural/servlet/Connector HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:20 -0400] "GET /cisnatural/natlegacy.jsp?sessionid=CASA3_732786925428&subsessionid=16908934396937711315219281739937&styleSheet=resources/natural.css&showPFKeyNumbers=false&doubleClickBehavior=50&pfkeysdisplay=0&checknumfields=true&autoskip=false HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:20 -0400] "GET /cisnatural/resources/nwoprint.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:20 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [01/Aug/2023:08:37:25 -0400] "POST /cisnatural/clientCommand? HTTP/1.1" 200 2443
